c1f78df6-bd56-468a-b42a-f67d8057c8e1,1/1/78,Venezuela,Spanish
e9f40273-6f96-422f-82a0-0433bdbc3d0c,1/1/17,Venezuela,Spanish
4ed754ba-f361-4e05-ae04-be7cdf325934,1/1/04,Venezuela,Spanish
b68b75ca-5c0f-40ca-ad7f-7819432c98d8,1/1/02,Venezuela,Spanish
18a804f3-4345-4ae0-8e64-fb5e44269338,1/1/02,Venezuela,Spanish
ef410f26-ca57-4d16-9654-8459255885a7,1/1/17,Venezuela,Spanish
d565ab7a-621f-40fe-b3a6-046ab8f3506a,1/1/02,Venezuela,Spanish
8a5c7d1e-5280-4204-b401-af56319ea0c0,1/1/04,Venezuela,Spanish
72bec872-2c39-4da4-8546-23364395221b,1/1/02,Venezuela,Spanish
65125f5e-d1ff-4d8f-84f7-bcd030fbd68c,1/1/02,Venezuela,Spanish
43ef006a-97c8-4d89-af00-726db6e992aa,1/1/02,Venezuela,Spanish
25053a9c-b0bb-4c41-bf48-71bd468321e2,1/1/17,Venezuela,Spanish
7d58e4f6-3718-4028-89ee-1e0200a91d83,1/1/01,Venezuela,Spanish
e19c86b7-229d-45da-bc1e-774830f136ae,1/1/02,Venezuela,Spanish
9aa80171-f159-4542-b551-5b80203de263,1/1/01,Venezuela,English (United States)
ca078c25-7c2b-419e-bad7-558907758850,1/1/01,Venezuela,Spanish
4d01e039-9f9e-42e8-a2f9-c1b56be7a284,1/1/01,Venezuela,Spanish
2a7343fc-e066-4581-bb28-a5b92ab7dda2,1/1/17,Venezuela,Spanish
63e850a9-73df-4be7-8e04-1fc3ea2ddddf,1/1/17,Venezuela,Spanish
e71089b1-652e-495f-a304-ea02b0b593f4,1/1/01,Venezuela,Spanish
3e0b0a2f-ac7a-437d-bc29-4dd0430a2adc,1/1/17,United States,English (United States)
4b122b97-1888-49b4-a823-09fba1d1a554,1/1/09,Venezuela,Spanish
2bdd3a45-7fca-4064-8d7c-ed0213cd4d95,1/1/02,Venezuela,Spanish
d8f0aec0-21c2-48d0-8152-c0334fb26257,1/1/07,Venezuela,Spanish
e2af357e-1cc7-4ac6-bc92-2aaa521bf909,1/1/03,Venezuela,Spanish
8d6fb6af-ad3f-4895-a00e-29f1c8e771b1,1/1/03,Venezuela,Spanish
6ad9eb2f-0791-4e55-b2d5-59ca45e6939a,1/1/01,Venezuela,Spanish
6eb9645c-55b6-4677-bf30-5aef324e9b29,1/1/03,Venezuela,Spanish
dd88795f-f5d2-4fd9-9584-1778f959e702,1/1/04,Venezuela,Spanish
e3d80a53-5049-4e58-b139-02c8ab859fe7,1/1/04,Venezuela,Spanish
16bfd3fe-670d-47a5-afd9-1582b5cd7198,1/1/02,Venezuela,Spanish
a557d644-6e05-4ca5-9d29-2917b17febdb,1/1/02,Venezuela,Spanish
0d32a023-28e1-4d20-92b2-508eeda79a3d,1/1/04,Venezuela,Spanish
cf3408fe-5f64-46a7-8c7a-b6734bf12165,1/1/04,Venezuela,Spanish
9607080e-090c-4f1a-9347-f9982b6e94c8,1/1/17,Venezuela,Spanish
8c8ef52c-5feb-438a-b821-f8a8c0c4567b,1/1/04,Venezuela,Spanish
f1b12fa9-ec0c-4141-8bb7-1c301142cdd8,1/1/04,Venezuela,Spanish
e0548070-5ac6-4194-8e51-f864dcf6cb3f,1/1/17,Venezuela,Spanish
5a02e607-215b-4d3f-b4d2-3aa95b82b78c,1/1/17,Venezuela,Spanish
7f6e8b58-e909-405e-9923-28584a2c91a6,1/1/17,Venezuela,Spanish
736bcec2-1ef7-426e-a0e4-79cba42bb5ee,1/1/02,Venezuela,Spanish
bb736034-fd96-469a-951c-ea70dbd8d4c6,1/1/17,Ethiopia,Afrikaans
3728a5ab-210c-41c5-801d-62c1179cee2c,1/1/17,Ethiopia,English (United States)
b4bb5f5f-229e-4d93-8bd0-7f00ce27c2df,1/1/02,Ethiopia,English (United States)
2bd0c419-fc3f-4203-b901-d0a165bb0293,1/1/03,Ethiopia,English (United States)
2d5a6b02-3c2e-4346-968d-647b17860d24,1/1/02,Ethiopia,English (United States)
003357c1-957b-42c3-9f9e-9450e2c69c22,1/1/00,Ethiopia,English (United States)
b158d6b0-14f9-4169-b76e-2c282c5a0b3d,1/1/02,Ethiopia,English (United Kingdom)
5291c2d9-6556-46ac-851c-f604998a760f,1/1/02,Ethiopia,English (United Kingdom)
65a33fb6-e6b4-42d2-92ca-5e1259dd53ac,1/1/02,Ethiopia,English (United Kingdom)
830655aa-442e-49d9-b112-739616f10ea4,1/1/01,Ethiopia,English (United Kingdom)
a5ee2cae-b75e-4874-8603-aec6fc61a0eb,1/1/02,Ethiopia,English (United Kingdom)
00e22a7a-d56c-4ebc-a4c9-fbe8de4e95c8,1/1/02,Ethiopia,English (United Kingdom)
f3a3c756-ebd3-424d-8d5a-e2c5ef02811c,1/1/02,Ethiopia,English (United States)
81fe80b5-daf3-4726-8460-9d30aa7b99c3,1/1/02,Ethiopia,English (United States)
62fb14c6-3ecd-4ed1-9b67-0da77708db12,1/1/02,Ethiopia,English (United States)
94542c59-b709-4497-bfed-75d93b5ca03d,1/1/03,Ethiopia,English (United States)
0713a916-7606-476c-aac6-8957a76dde03,1/1/01,Ethiopia,English (United States)
34444676-9007-4f6f-843a-c84c2d2f0654,1/1/01,Ethiopia,English (United States)
d7f827fa-9887-4f91-9d5e-ced831b26ea3,1/1/02,Ethiopia,English (United States)
558c4c18-ee24-4927-b9c2-98e602f4ae9a,1/1/04,Ethiopia,English (United States)
dfeb9eef-8dbf-47f6-8c92-77d09a1997cf,1/1/17,United States,English (United States)
3a3c0eef-3fcc-45e4-bba9-5b9e0b157a94,1/1/05,United States,English
526c3a0c-4efb-4462-a8aa-1a8e14796649,1/1/12,United States,Afar
bcb25d05-bfe5-4e62-988c-5d056398c3d3,1/1/99,United States,English (United States)
d8f1c077-86e2-4c66-a15e-666f7761293a,1/1/98,United States,English (United States)
78855a01-9fab-4f59-a723-cedaae505cf7,1/1/17,Afghanistan,
9bfd1539-6db1-456f-8928-3800b00bed94,1/1/17,Afghanistan,
0a7c2ec8-1ec9-4f9e-a3ac-386fa4d6eca5,1/1/17,Venezuela,Spanish
2b8d1944-be54-40a4-ad2d-22ddb506e334,1/1/17,Venezuela,
9a02b004-c0ed-4d15-89ef-2d14fb15c568,1/1/02,Venezuela,Spanish
98aa3b7c-2952-4bde-91ef-e24e4af6ca78,1/1/04,Venezuela,Spanish
a40bf146-8054-42f4-a20f-389efe3181c4,1/1/02,Venezuela,Spanish
af7f73e7-81e0-47db-9c46-19616d192fe3,1/1/98,Afghanistan,
2e25aec0-2de5-4004-8f70-7e775fe0f5f3,1/1/00,Afghanistan,
e8d0d3cb-f285-4a4f-afb7-2b60602fa51b,1/1/17,Afghanistan,
9b743c7d-4e0f-4a2d-b15d-0b18750b0674,1/1/17,Liberia,
3798cfe8-bc96-4c60-8373-2981b9d7e950,1/1/17,Chile,
58ad40e6-997e-4e6a-a03b-7fad6f674234,1/1/17,Nicaragua,
ba521345-f06d-4d52-ba0d-27b5968be951,1/1/04,Colombia,Spanish
050788ac-a873-4b3c-81f2-a56642ea6302,1/1/17,Dominican Republic,
e0e4a301-7c4a-40ef-8ad2-8901066d2b59,1/1/17,Peru,
07a8a54b-5219-4e9e-8949-d73657a70973,1/1/17,Seychelles,
aacf4a3e-1dda-42f8-999a-b30a9d6b47c2,1/1/92,United States,Spanish
643f2d30-c97b-4d20-a98e-4aeedf482c86,1/1/17,Colombia,
7cdd97c1-12d8-4831-a1f0-e84192302aad,1/1/17,Dominican Republic,Spanish
6e4d31b8-5383-4bb5-806d-426f0c2c5b04,1/1/11,Colombia,
bb4a8117-fe31-4acc-908c-216a2142a813,1/1/96,Mexico,Spanish
53fbd3b3-256c-45fa-9311-6c7ebbe15aed,1/1/94,Ecuador,Spanish
8455f988-fe78-442f-affe-7655101573be,1/1/17,Peru,
ebbc6f92-1748-411b-9df3-d179c811c91b,1/1/17,United States,
03184a3d-b05f-4642-a25c-631ff73a1947,1/1/17,Colombia,
70ab0fb4-0920-490b-9f98-cd3fc335cb34,1/1/10,Aruba,
8f589bce-cd6a-479d-99d1-68de35b3627d,1/1/17,Caribbean,
d7be287f-c518-48f8-b967-33c3e57a11f4,1/1/13,,
4c9b4731-950c-4aa3-85d4-5fd0ec0a1e8a,1/1/17,Liechtenstein,
681bf5e7-ca1c-4382-b118-61fae8dffba1,1/1/17,British Virgin Islands,
ed9ba0b7-e71d-47e4-bec1-2701646daad5,1/1/03,Bolivarian Republic of Venezuela,
85e3e102-9ff0-436b-98a1-3a8f92858967,1/1/17,Argentina,
